pick_number,round,position,player_name,team,manager
236,15,DB,Antoine Winfield,TB,738166858095673344
237,15,LB,Bobby Wagner,WAS,826875538638512128
238,15,DL,Jared Verse,LAR,1108533477386948608
239,15,LB,Lavonte David,TB,471801039259955200
240,15,DB,Derwin James,LAC,1137078469978001408
241,16,LB,Quay Walker,GB,1137078469978001408
242,16,LB,Azeez Al-Shaair,HOU,471801039259955200
243,16,DB,Cam Bynum,IND,1108533477386948608
244,16,DB,Xavier McKinney,GB,826875538638512128
245,16,DB,Cooper DeJean,PHI,738166858095673344
246,16,DB,Kevin Byard,CHI,959954145530691584
247,16,RB,Trevor Etienne,CAR,448551108936200192
248,16,DB,Jaquan Brisker,CHI,826866295868891136
249,16,LB,Harold Landry,NE,827412517738393600
250,16,DE,Danielle Hunter,HOU,826987993683304448
251,16,LB,Jack Campbell,DET,450350679567888384
252,16,DB,Julian Love,SEA,826895872460685312
253,16,DB,Brandon Jones,DEN,419350278400126976
254,16,DB,Jeremy Chinn,LV,826858882428141568
255,16,DE,Jonathan Greenard,MIN,826875091739602944
256,16,DB,Joshua Metellus,MIN,451533819841867776
257,17,DB,Kerby Joseph,DET,451533819841867776
258,17,CB,Pat Surtain,DEN,826875091739602944
259,17,LB,Christian Elliss,NE,826858882428141568
260,17,LB,Payton Wilson,PIT,419350278400126976
261,17,DB,Tyler Nubin,NYG,826895872460685312
262,17,LB,Carson Schwesinger,CLE,450350679567888384
263,17,LB,Quincy Williams,NYJ,826987993683304448
264,17,DB,Malaki Starks,BAL,827412517738393600
265,17,DB,Grant Delpit,CLE,826866295868891136
266,17,RB,Sean Tucker,TB,448551108936200192
267,17,DT,Derrick Brown,CAR,959954145530691584
268,17,K,Brandon Aubrey,DAL,738166858095673344
269,17,LB,Frankie Luvu,WAS,826875538638512128
270,17,LB,Travon Walker,JAX,1108533477386948608
271,17,LB,Demario Davis,NO,471801039259955200
272,17,DE,Brian Burns,NYG,1137078469978001408
273,18,DB,Minkah Fitzpatrick,MIA,1137078469978001408
274,18,DE,Trey Hendrickson,CIN,471801039259955200
275,18,WR,Amari Cooper,LV,1108533477386948608
276,18,DB,DeShon Elliott,PIT,826875538638512128
277,18,DE,Josh Hines-Allen,JAX,738166858095673344
278,18,DT,Jeffery Simmons,TEN,959954145530691584
279,18,DL,Jalen Carter,PHI,448551108936200192
280,18,K,Jake Bates,DET,826866295868891136
281,18,DB,Devon Witherspoon,SEA,827412517738393600
282,18,LB,E.J. Speed,HOU,826987993683304448
283,18,DB,Reed Blankenship,PHI,450350679567888384
284,18,DB,Jalen Pitre,HOU,826895872460685312
285,18,LB,Germaine Pratt,LV,419350278400126976
286,18,LB,Micah McFadden,NYG,826858882428141568
287,18,TE,Jonnu Smith,PIT,826875091739602944
288,18,DB,Christian Benford,BUF,451533819841867776
289,19,DL,Kayvon Thibodeaux,NYG,451533819841867776
290,19,LB,Byron Young,LAR,826875091739602944
291,19,DB,Calen Bullock,HOU,826858882428141568
292,19,LB,Tyrice Knight,SEA,419350278400126976
293,19,RB,Kendre Miller,NO,826895872460685312
294,19,WR,Alec Pierce,IND,450350679567888384
295,19,DL,Yaya Diaby,TB,826987993683304448
296,19,TE,Isaiah Likely,BAL,827412517738393600
297,19,LB,Alex Highsmith,PIT,826866295868891136
298,19,LB,Jihaad Campbell,PHI,448551108936200192
299,19,DL,Jonathon Cooper,DEN,959954145530691584
300,19,DE,Greg Rousseau,BUF,738166858095673344
301,19,DB,Tre'von Moehrig,CAR,826875538638512128
302,19,TE,Zach Ertz,WAS,1108533477386948608
303,19,DB,Nick Emmanwori,SEA,471801039259955200
304,19,DB,Kyle Dugger,NE,1137078469978001408
305,20,DT,DeForest Buckner,IND,1137078469978001408
306,20,DB,Isaiah Pola-Mao,LV,471801039259955200
307,20,LB,Nolan Smith,PHI,1108533477386948608
308,20,DT,Kobie Turner,LAR,826875538638512128
309,20,DB,Sauce Gardner,NYJ,738166858095673344
310,20,LB,Divine Deablo,ATL,959954145530691584
311,20,LB,Cody Barton,TEN,448551108936200192
312,20,DB,Quentin Lake,LAR,826866295868891136
313,20,DB,Jordan Battle,CIN,827412517738393600
314,20,QB,Daniel Jones,IND,826987993683304448
315,20,DB,Jalen Thompson,ARI,450350679567888384
316,20,LB,Tyrel Dodson,MIA,826895872460685312
317,20,CB,Paulson Adebo,NYG,419350278400126976
318,20,CB,Ja'Quan McMillian,DEN,826858882428141568
319,20,LB,Devin Lloyd,JAX,826875091739602944
320,20,LB,Alex Anzalone,DET,451533819841867776
321,21,DB,Derek Stingley,HOU,451533819841867776
322,21,CB,Byron Murphy,MIN,826875091739602944
323,21,CB,Keisean Nixon,GB,826858882428141568
324,21,DT,Zach Sieler,MIA,419350278400126976
325,21,DB,Tykee Smith,TB,826895872460685312
326,21,DB,Talanoa Hufanga,DEN,450350679567888384
327,21,DB,Mike Sainristil,WAS,826987993683304448
328,21,DB,Jaden Hicks,KC,827412517738393600
329,21,LB,Kyle Van Noy,BAL,826866295868891136
330,21,LB,Christian Rozeboom,CAR,448551108936200192
331,21,LB,Omar Speights,LAR,959954145530691584
332,21,LB,Nakobe Dean,PHI,738166858095673344
333,21,DE,Zach Allen,DEN,826875538638512128
334,21,CB,Marlon Humphrey,BAL,1108533477386948608
335,21,LB,Bradley Chubb,MIA,471801039259955200
336,21,DB,C.J. Gardner-Johnson,HOU,1137078469978001408
337,22,DL,Laiatu Latu,IND,1137078469978001408
338,22,DE,Leonard Williams,SEA,471801039259955200
339,22,DB,Trent McDuffie,KC,1108533477386948608
340,22,DB,Xavier Woods,TEN,826875538638512128
341,22,RB,Jarquez Hunter,LAR,738166858095673344
342,22,DB,Alontae Taylor,NO,959954145530691584
343,22,TE,Theo Johnson,NYG,448551108936200192
344,22,DT,Chris Jones,KC,826866295868891136
345,22,DE,Josh Sweat,ARI,827412517738393600
346,22,TE,Darren Waller,MIA,826987993683304448
347,22,DB,Harrison Smith,MIN,450350679567888384
348,22,K,Cameron Dicker,LAC,826895872460685312
349,22,DL,George Karlaftis,KC,419350278400126976
350,22,LB,Ivan Pace,MIN,826858882428141568
351,22,DL,Gervon Dexter,CHI,826875091739602944
352,22,LB,Dre Greenlaw,DEN,451533819841867776
353,23,DB,Jahdae Barron,DEN,451533819841867776
354,23,DB,Christian Gonzalez,NE,826875091739602944
355,23,LB,Rashan Gary,GB,826858882428141568
356,23,DB,Ashtyn Davis,MIA,419350278400126976
357,23,WR,Jaylin Noel,HOU,826895872460685312
358,23,RB,Blake Corum,LAR,450350679567888384
359,23,RB,Chris Rodriguez,WAS,826987993683304448
360,23,DL,James Pearce,ATL,827412517738393600
361,23,LB,Khalil Mack,LAC,826866295868891136
362,23,RB,Devin Neal,NO,448551108936200192
363,23,DB,DaRon Bland,DAL,959954145530691584
364,23,LB,Joey Bosa,BUF,738166858095673344
365,23,LB,Henry To'oTo'o,HOU,826875538638512128
366,23,RB,Justice Hill,BAL,1108533477386948608
367,23,DB,Chamarri Conner,KC,471801039259955200
368,23,WR,Roman Wilson,PIT,1137078469978001408
369,24,QB,Anthony Richardson,IND,1137078469978001408
370,24,K,Harrison Butker,KC,471801039259955200
371,24,K,Cam Little,JAX,1108533477386948608
372,24,K,Chris Boswell,PIT,826875538638512128
373,24,LB,Tremaine Edmunds,CHI,738166858095673344
374,24,DB,Taylor Rapp,BUF,959954145530691584
375,24,LB,Dallas Turner,MIN,448551108936200192
376,24,RB,Raheem Mostert,LV,826866295868891136
377,24,K,Jake Elliott,PHI,827412517738393600
378,24,DB,Kam Curl,LAR,826987993683304448
379,24,K,Wil Lutz,DEN,450350679567888384
380,24,DB,Amani Hooker,TEN,826895872460685312
381,24,CB,Taron Johnson,BUF,419350278400126976
382,24,DE,Carl Granderson,NO,826858882428141568
383,24,K,Chase McLaughlin,TB,826875091739602944
384,24,K,Daniel Carlson,LV,451533819841867776
385,25,LB,Derrick Barnes,DET,451533819841867776
386,25,LB,Demetrius Knight,CIN,826875091739602944
387,25,RB,Elijah Mitchell,KC,826858882428141568
388,25,DT,Quinnen Williams,NYJ,419350278400126976
389,25,DL,Tuli Tuipulotu,LAC,826895872460685312
390,25,WR,Darius Slayton,NYG,450350679567888384
391,25,DB,Jevon Holland,NYG,826987993683304448
392,25,LB,Dorian Williams,BUF,827412517738393600
393,25,WR,Tyler Lockett,TEN,826866295868891136
394,25,DT,Dexter Lawrence,NYG,448551108936200192
395,25,WR,Jalen Royals,KC,959954145530691584
396,25,RB,MarShawn Lloyd,GB,738166858095673344
397,25,TE,Dalton Schultz,HOU,826875538638512128
398,25,DB,Justin Reid,NO,1108533477386948608
399,25,DE,D.J. Wonnum,CAR,471801039259955200
400,25,WR,Dyami Brown,JAX,1137078469978001408
401,26,WR,Jack Bech,LV,1137078469978001408
402,26,QB,Jaxson Dart,NYG,471801039259955200
403,26,LB,Odafe Oweh,BAL,1108533477386948608
404,26,QB,Shedeur Sanders,CLE,826875538638512128
405,26,LB,Kenneth Murray,DAL,738166858095673344
406,26,LB,Jack Sanborn,DAL,959954145530691584
407,26,WR,Adonai Mitchell,IND,448551108936200192
408,26,TE,Hunter Henry,NE,826866295868891136
409,26,WR,Jordan Whittington,LAR,827412517738393600
410,26,LB,Mack Wilson,ARI,826987993683304448
411,26,LB,Jermaine Johnson,NYJ,450350679567888384
412,26,RB,Jaleel McLaughlin,DEN,826895872460685312
413,26,K,Evan McPherson,CIN,419350278400126976
414,26,K,Tyler Bass,BUF,826858882428141568
415,26,DB,Will Harris,WAS,826875091739602944
416,26,DT,Jonathan Allen,MIN,451533819841867776
417,27,DT,Cameron Heyward,PIT,451533819841867776
418,27,DL,Mykel Williams,SF,826875091739602944
419,27,DL,Mike Green,BAL,826858882428141568
420,27,RB,Jordan James,SF,419350278400126976
421,27,TE,Ja'Tavion Sanders,CAR,826895872460685312
422,27,LB,Jaelan Phillips,MIA,450350679567888384
423,27,K,Ka'imi Fairbairn,HOU,826987993683304448
424,27,LB,Drue Tranquill,KC,827412517738393600
425,27,RB,Kenneth Gainwell,PIT,826866295868891136
426,27,WR,Malik Washington,MIA,448551108936200192
427,27,QB,Russell Wilson,NYG,959954145530691584
428,27,DE,Montez Sweat,CHI,738166858095673344
429,27,TE,Terrance Ferguson,LAR,826875538638512128
430,27,RB,Dameon Pierce,HOU,1108533477386948608
431,27,QB,Spencer Rattler,NO,471801039259955200
432,27,TE,Tim Tebow,,1137078469978001408
